channel,velocities,frequencies
0,-0.9795918367346939,-37.74099730038837
0,-0.9795918367346939,-37.46063280855965
0,-0.9591836734693877,-36.709778582097655
0,-0.9591836734693877,-36.46054671663456
0,-0.9387755102040816,-36.21005891121802
0,-0.9387755102040816,-35.96463162575662
0,-0.9183673469387754,-35.46169721801366
0,-0.9183673469387754,-35.211278262625164
0,-0.8979591836734693,-34.71299317211719
0,-0.8979591836734693,-34.713019058249216
0,-0.8775510204081632,-33.71284426502032
0,-0.8775510204081632,-33.73028031662001
0,-0.8571428571428571,-32.96337809881147
0,-0.8571428571428571,-32.96402540351702
0,-0.836734693877551,-31.71487552175185
0,-0.836734693877551,-31.965950461082613
0,-0.8163265306122448,-30.987909710720654
0,-0.8163265306122448,-30.979811309006354
0,-0.7959183673469387,-30.216647167122964
0,-0.7959183673469387,-30.230977187842853
0,-0.7755102040816326,-29.217691237903956
0,-0.7755102040816326,-29.490792193472945
0,-0.7551020408163265,-28.48001288393639
0,-0.7551020408163265,-28.46991770271879
0,-0.7346938775510203,-27.996562833934757
0,-0.7346938775510203,-27.720861050697533
0,-0.7142857142857142,-26.970880147488188
0,-0.7142857142857142,-26.974320783737628
0,-0.6938775510204082,-25.994237363542666
0,-0.6938775510204082,-25.972587349363494
0,-0.673469387755102,-24.98396540340704
0,-0.673469387755102,-24.723636568247343
0,-0.6530612244897959,-23.475069335723592
0,-0.6530612244897959,-23.22404211642671
0,-0.6326530612244897,-22.48606987965653
0,-0.6326530612244897,-22.72561548288914
0,-0.6122448979591836,-21.729430150094625
0,-0.6122448979591836,-21.72711672935365
0,-0.5918367346938775,-20.727506779040862
0,-0.5918367346938775,-20.738765468380887
0,-0.5714285714285714,-19.727644790824986
0,-0.5714285714285714,-19.728346847083674
0,-0.5510204081632653,-18.991190328732838
0,-0.5510204081632653,-18.730674486260053
0,-0.5306122448979591,-17.740007018742993
0,-0.5306122448979591,-17.730640755686316
0,-0.5102040816326531,-16.981840918279982
0,-0.5102040816326531,-16.980889554214457
0,-0.4897959183673469,-16.241653909461963
0,-0.4897959183673469,-16.23576672025525
0,-0.4693877551020408,-15.483305891660413
0,-0.4693877551020408,-15.235977058002227
0,-0.44897959183673464,-14.733744819082485
0,-0.44897959183673464,-14.741201198309708
