point_id,frame,x,y
0,0,2967,1442
1,0,3079,1494
2,0,3069,1567
3,0,3059,1664
4,0,2940,1617
5,0,2932,1505
6,0,2793,1860
7,0,2831,1836
8,0,2930,1873
9,0,2924,1923
10,0,2907,1966
11,0,2808,1913
